SKU,SALDO,IDMARCA,MARCA,DATA
1040001002979,1644.75,14,Elizabeth,2022-08-02 19:35
1040001002975,1526.4,14,Elizabeth,2022-08-02 19:35
1040001002841,3015.0,14,Elizabeth,2022-08-02 19:35
1040010002016,1276.05,14,Elizabeth,2022-08-02 19:35
1040001002842,4582.8,14,Elizabeth,2022-08-02 19:35
1040001002842,2472.3,14,Elizabeth,2022-08-02 19:35
|1040007001010,3782.4,14,Elizabeth,2022-08-02 19:35
|1040007001010,3014.1,14,Elizabeth,2022-08-02 19:35
|1040007001010,1004.7,14,Elizabeth,2022-08-02 19:35
1040009002846,1567.8,14,Elizabeth,2022-08-02 19:35
1040009002873,1462.8,14,Elizabeth,2022-08-02 19:35
1040009002873,2098.8,14,Elizabeth,2022-08-02 19:35
1040009002873,1208.4,14,Elizabeth,2022-08-02 19:35
1040009002873,3116.4,14,Elizabeth,2022-08-02 19:35
|01010001002101,2430.0,14,Elizabeth,2022-08-02 19:35
|01010001002630,1360.8,14,Elizabeth,2022-08-02 19:35
|01010001002643,1069.2,14,Elizabeth,2022-08-02 19:35
|01010001002645,1555.2,14,Elizabeth,2022-08-02 19:35
|01010001001010,1458.0,14,Elizabeth,2022-08-02 19:35
|01010001001059,1895.4,14,Elizabeth,2022-08-02 19:35
|01010001001014,1458.0,14,Elizabeth,2022-08-02 19:35
|01010001001004,1603.8,14,Elizabeth,2022-08-02 19:35
|10400010022MM,1020.6,14,Elizabeth,2022-08-02 19:35
|1040001001369,1539.0,14,Elizabeth,2022-08-02 19:35
|01010001002725,1458.0,14,Elizabeth,2022-08-02 19:35
|1040001002PMZ,2508.0,14,Elizabeth,2022-08-02 19:35
|01010001002272,1539.0,14,Elizabeth,2022-08-02 19:35
|01010001002628,1263.6,14,Elizabeth,2022-08-02 19:35
|01010001002653,1069.2,14,Elizabeth,2022-08-02 19:35
|01010001001031,2187.0,14,Elizabeth,2022-08-02 19:35
|0101000101043,1749.6,14,Elizabeth,2022-08-02 19:35
|10400010022MC,1701.0,14,Elizabeth,2022-08-02 19:35
|1040001002320,1083.0,14,Elizabeth,2022-08-02 19:35
|1040001002323,1254.0,14,Elizabeth,2022-08-02 19:35
|01010001001616,2889.6,14,Elizabeth,2022-08-02 19:35
|01010001001616,1341.6,14,Elizabeth,2022-08-02 19:35
|01010001001616,2889.6,14,Elizabeth,2022-08-02 19:35
|01010001001616,1135.2,14,Elizabeth,2022-08-02 19:35
|01010001001616,1444.8,14,Elizabeth,2022-08-02 19:35
|01010001002765,1134.0,14,Elizabeth,2022-08-02 19:35
|1040001002PNU,1254.0,14,Elizabeth,2022-08-02 19:35
1040009002979,2851.8,14,Elizabeth,2022-08-02 19:35
1040009002981,1786.74,14,Elizabeth,2022-08-02 19:35
1040009002983,1629.6,14,Elizabeth,2022-08-02 19:35
1040009002985,1746.0,14,Elizabeth,2022-08-02 19:35
1040009002985,1687.8,14,Elizabeth,2022-08-02 19:35
1040009002985,1047.6,14,Elizabeth,2022-08-02 19:35
1040009002985,1396.8,14,Elizabeth,2022-08-02 19:35
1040009002985,1862.4,14,Elizabeth,2022-08-02 19:35
1040009002985,1978.8,14,Elizabeth,2022-08-02 19:35
1040009002183,1123.2,14,Elizabeth,2022-08-02 19:35
1040009002183,1067.04,14,Elizabeth,2022-08-02 19:35
1040009002989,3259.2,14,Elizabeth,2022-08-02 19:35
1040001002900,1017.6,14,Elizabeth,2022-08-02 19:35
1040009002982,1164.0,14,Elizabeth,2022-08-02 19:35
1040009002982,1222.2,14,Elizabeth,2022-08-02 19:35
1040001002901,2734.8,14,Elizabeth,2022-08-02 19:35
1040001003104,2004.48,14,Elizabeth,2022-08-02 19:35
1040001003104,1382.4,14,Elizabeth,2022-08-02 19:35
1040001003073,1874.88,14,Elizabeth,2022-08-02 19:35
1040001003073,2557.44,14,Elizabeth,2022-08-02 19:35
1040001003074,1175.04,14,Elizabeth,2022-08-02 19:35
1040001003087,1052.64,14,Elizabeth,2022-08-02 19:35
1040001003062,1051.2,14,Elizabeth,2022-08-02 19:35
|1040001002340,1026.0,14,Elizabeth,2022-08-02 19:35
|01010001001616,2167.2,14,Elizabeth,2022-08-02 19:35
|01010001001616,2889.6,14,Elizabeth,2022-08-02 19:35
|01010001001616,2889.6,14,Elizabeth,2022-08-02 19:35
|01010001001616,2786.4,14,Elizabeth,2022-08-02 19:35
|01010001001616,2992.8,14,Elizabeth,2022-08-02 19:35
|01010001002747,1458.0,14,Elizabeth,2022-08-02 19:35
|01010001002591,1333.2,14,Elizabeth,2022-08-02 19:35
|01010001002762,1846.8,14,Elizabeth,2022-08-02 19:35
|1040001002P00,2166.0,14,Elizabeth,2022-08-02 19:35
|10400010022MX,2337.0,14,Elizabeth,2022-08-02 19:35
|01010001001203,3499.2,14,Elizabeth,2022-08-02 19:35
1040001002PM9,1250.01,14,Elizabeth,2022-08-02 19:35
1040001002805,1572.48,14,Elizabeth,2022-08-02 19:35
1040001002805,1179.36,14,Elizabeth,2022-08-02 19:35
1040001002805,1404.0,14,Elizabeth,2022-08-02 19:35
1040001002805,2302.56,14,Elizabeth,2022-08-02 19:35
1040001002807,1572.48,14,Elizabeth,2022-08-02 19:35
1040001002815,2358.72,14,Elizabeth,2022-08-02 19:35
1040001002815,1853.28,14,Elizabeth,2022-08-02 19:35
1040001002811,1516.32,14,Elizabeth,2022-08-02 19:35
|01010001001029,1895.4,14,Elizabeth,2022-08-02 19:35
|01010001001032,1020.6,14,Elizabeth,2022-08-02 19:35
|0101000101046,1166.4,14,Elizabeth,2022-08-02 19:35
|01010001001002,1603.8,14,Elizabeth,2022-08-02 19:35
|1040001001351,1311.0,14,Elizabeth,2022-08-02 19:35
|01010001001616,2270.4,14,Elizabeth,2022-08-02 19:35
|01010001001616,2580.0,14,Elizabeth,2022-08-02 19:35
|01010001001616,2270.4,14,Elizabeth,2022-08-02 19:35
|01010001001616,2476.8,14,Elizabeth,2022-08-02 19:35
|01010001001616,2580.0,14,Elizabeth,2022-08-02 19:35
|01010001002762,1263.6,14,Elizabeth,2022-08-02 19:35
|1040001002PNZ,1539.0,14,Elizabeth,2022-08-02 19:35
|01010001002082,1863.0,14,Elizabeth,2022-08-02 19:35
|1040001002PIV,1585.5,14,Elizabeth,2022-08-02 19:35
|1040001002PIW,1902.6,14,Elizabeth,2022-08-02 19:35
1040001001162,1071.0,14,Elizabeth,2022-08-02 19:35
|1040001002PJZ,1540.2,14,Elizabeth,2022-08-02 19:35
|1040001002PKN,1313.7,14,Elizabeth,2022-08-02 19:35
|1040001002PKN,2627.4,14,Elizabeth,2022-08-02 19:35
|1040001002PK7,1020.6,14,Elizabeth,2022-08-02 19:35
|1040001002PK8,1749.6,14,Elizabeth,2022-08-02 19:35
1040009002010,1940.4,14,Elizabeth,2022-08-02 19:35
1040009002010,1552.32,14,Elizabeth,2022-08-02 19:35
1040009002010,1386.0,14,Elizabeth,2022-08-02 19:35
1040001003062,3314.88,14,Elizabeth,2022-08-02 19:35
1040001003063,2419.2,14,Elizabeth,2022-08-02 19:35
1040001003063,2972.16,14,Elizabeth,2022-08-02 19:35
1040002002869,1653.6,14,Elizabeth,2022-08-02 19:35
1040001003064,1641.6,14,Elizabeth,2022-08-02 19:35
1040001003065,1036.8,14,Elizabeth,2022-08-02 19:35
1040009002995,2716.56,14,Elizabeth,2022-08-02 19:35
1040009002995,1552.32,14,Elizabeth,2022-08-02 19:35
1040009002995,2273.04,14,Elizabeth,2022-08-02 19:35
1040009002995,1829.52,14,Elizabeth,2022-08-02 19:35
1040009002995,1774.08,14,Elizabeth,2022-08-02 19:35
1040009002995,2328.48,14,Elizabeth,2022-08-02 19:35
1040009002995,3970.12,14,Elizabeth,2022-08-02 19:35
|01010001002724,1069.2,14,Elizabeth,2022-08-02 19:35
|1040001001369,1197.0,14,Elizabeth,2022-08-02 19:35
|01010001002725,1069.2,14,Elizabeth,2022-08-02 19:35
|01010001002594,1866.48,14,Elizabeth,2022-08-02 19:35
|01010001002268,2169.0,14,Elizabeth,2022-08-02 19:35
|01010001002641,1749.6,14,Elizabeth,2022-08-02 19:35
|01010001001060,1895.4,14,Elizabeth,2022-08-02 19:35
|01010001001016,1166.4,14,Elizabeth,2022-08-02 19:35
|1040007001011,2836.8,14,Elizabeth,2022-08-02 19:35
|1040007001011,2955.0,14,Elizabeth,2022-08-02 19:35
|1040007001011,3073.2,14,Elizabeth,2022-08-02 19:35
|1040007001011,3723.3,14,Elizabeth,2022-08-02 19:35
|1040007001011,3900.6,14,Elizabeth,2022-08-02 19:35
|1040007001011,1359.3,14,Elizabeth,2022-08-02 19:35
|1040007001013,1004.7,14,Elizabeth,2022-08-02 19:35
|1040001002PNR,1047.32,14,Elizabeth,2022-08-02 19:35
|1040007001014,2955.0,14,Elizabeth,2022-08-02 19:35
|1040007001015,1536.6,14,Elizabeth,2022-08-02 19:35
|1040007001015,3014.1,14,Elizabeth,2022-08-02 19:35
|1040007001016,1418.4,14,Elizabeth,2022-08-02 19:35
1040001003066,4008.96,14,Elizabeth,2022-08-02 19:35
1040001002932,2162.4,14,Elizabeth,2022-08-02 19:35
1040001002932,2862.0,14,Elizabeth,2022-08-02 19:35
1040001002934,1255.04,14,Elizabeth,2022-08-02 19:35
1040001002936,2416.8,14,Elizabeth,2022-08-02 19:35
1040001002941,3625.2,14,Elizabeth,2022-08-02 19:35
1040001002941,1780.8,14,Elizabeth,2022-08-02 19:35
1040001002826,1318.56,14,Elizabeth,2022-08-02 19:35
1040001002942,1590.0,14,Elizabeth,2022-08-02 19:35
1040001002827,3859.2,14,Elizabeth,2022-08-02 19:35
1040001002827,3316.5,14,Elizabeth,2022-08-02 19:35
1040001002827,1929.6,14,Elizabeth,2022-08-02 19:35
1040001002827,4040.1,14,Elizabeth,2022-08-02 19:35
1040001002827,5004.9,14,Elizabeth,2022-08-02 19:35
1040001002828,4522.5,14,Elizabeth,2022-08-02 19:35
1040001002706,2600.4,14,Elizabeth,2022-08-02 19:35
1040001001414,1713.9,14,Elizabeth,2022-08-02 19:35
1040001002419,2096.0,14,Elizabeth,2022-08-02 19:35
1040001002419,1420.0,14,Elizabeth,2022-08-02 19:35
1040001001415,2304.9,14,Elizabeth,2022-08-02 19:35
1040009002165,1219.68,14,Elizabeth,2022-08-02 19:35
1040009002165,3160.08,14,Elizabeth,2022-08-02 19:35
1040009002165,1552.32,14,Elizabeth,2022-08-02 19:35
1040001002938,1399.2,14,Elizabeth,2022-08-02 19:35
1040001002813,1740.96,14,Elizabeth,2022-08-02 19:35
1040001002813,1291.68,14,Elizabeth,2022-08-02 19:35
1040001003086,1447.38,14,Elizabeth,2022-08-02 19:35
1040001003080,2434.23,14,Elizabeth,2022-08-02 19:35
1040001003080,1052.64,14,Elizabeth,2022-08-02 19:35
1040009002012,1108.8,14,Elizabeth,2022-08-02 19:35
|1040001002PKI,2867.4,14,Elizabeth,2022-08-02 19:35
|1040001002PKL,1603.8,14,Elizabeth,2022-08-02 19:35
|1040001002379,1215.0,14,Elizabeth,2022-08-02 19:35
1040009002007,6828.36,14,Elizabeth,2022-08-02 19:35
|1040007001008,1477.5,14,Elizabeth,2022-08-02 19:35
|1040007001008,1182.0,14,Elizabeth,2022-08-02 19:35
|1040009002028,3191.4,14,Elizabeth,2022-08-02 19:35
|1040009002028,3486.9,14,Elizabeth,2022-08-02 19:35
|1040009002028,3546.0,14,Elizabeth,2022-08-02 19:35
|1040009002028,3546.0,14,Elizabeth,2022-08-02 19:35
1040009002039,1552.32,14,Elizabeth,2022-08-02 19:35
1040009002167,1275.12,14,Elizabeth,2022-08-02 19:35
1040001002670,1773.0,14,Elizabeth,2022-08-02 19:35
